iter	Passed	Remaining
438	1726	2206
439	1731	2204
440	1733	2197
441	1735	2191
442	1738	2185
443	1739	2178
444	1740	2171
445	1744	2167
446	1746	2160
447	1748	2154
448	1750	2147
449	1751	2140
450	1752	2133
451	1753	2126
452	1755	2119
453	1756	2112
454	1761	2109
455	1762	2103
456	1764	2096
457	1765	2089
458	1766	2082
459	1768	2075
460	1769	2069
461	1770	2062
462	1772	2055
463	1781	2057
464	1783	2052
465	1785	2045
466	1787	2040
467	1792	2037
468	1794	2031
469	1796	2025
470	1798	2019
471	1799	2013
472	1807	2013
473	1809	2008
474	1812	2002
475	1814	1997
476	1822	1997
477	1823	1991
478	1825	1985
479	1826	1978
480	1836	1981
481	1838	1975
482	1839	1969
483	1840	1962
484	1842	1956
485	1843	1950
486	1845	1943
487	1846	1937
488	1851	1934
489	1852	1927
490	1853	1921
491	1855	1915
492	1856	1908
493	1857	1902
494	1858	1896
495	1860	1890
496	1861	1883
497	1866	1880
498	1867	1874
499	1868	1868
500	1869	1862
501	1870	1855
502	1872	1850
503	1873	1843
504	1874	1837
505	1875	1831
506	1880	1828
507	1881	1822
508	1883	1816
509	1885	1812
510	1887	1806
511	1889	1800
512	1891	1795
513	1897	1793
514	1898	1788
515	1900	1782
516	1901	1776
517	1903	1771
518	1905	1766
519	1913	1766
520	1917	1762
521	1918	1757
522	1920	1751
523	1921	1745
524	1929	1745
525	1931	1740
526	1933	1735
527	1935	1730
528	1936	1724
529	1937	1718
530	1943	1716
531	1944	1710
532	1946	1705
533	1947	1699
534	1949	1694
535	1951	1688
536	1952	1683
537	1953	1677
538	1956	1672
539	1957	1667
540	1958	1662
541	1960	1656
542	1961	1650
543	1962	1645
544	1964	1639
545	1966	1635
546	1974	1634
547	1975	1629
548	1977	1624
549	1978	1619
550	1980	1613
551	1981	1607
552	1982	1602
553	1986	1599
554	1988	1594
555	1989	1588
556	1990	1583
557	1991	1577
558	1992	1572
559	1994	1566
560	1995	1561
561	1997	1556
562	2003	1555
563	2005	1550
564	2006	1545
565	2008	1539
566	2009	1534
567	2010	1529
568	2011	1523
569	2013	1518
570	2016	1515
571	2020	1511
572	2021	1506
573	2022	1501
574	2024	1496
575	2025	1490
576	2030	1488
577	2032	1483
578	2033	1478
579	2034	1473
580	2036	1468
581	2037	1463
582	2038	1458
583	2040	1453
584	2045	1450
585	2048	1446
586	2051	1443
587	2053	1439
588	2056	1434
589	2061	1432
590	2062	1427
591	2065	1423
592	2067	1419
593	2069	1414
594	2073	1411
595	2074	1406
596	2076	1401
